id,name,album,artist,genre
0jWHVt7QkVRWCj2Sw2Ncl3,Your Hand Holding Mine,Harmless Melodies,Yellow Days,"bedroom pop, indie garage rock"
7l5j3FapCyr6HxUgoAynM2,Gap in the Clouds,Harmless Melodies,Yellow Days,"bedroom pop, indie garage rock"
6PGrkeJpDpgiFLvgKYD489,Dark Spring,7,Beach House,"art pop, baltimore indie, chillwave, dream pop, freak folk, indie pop, indie rock, modern dream pop"
15jRg8Ejs7X3JEHw38TSN3,Team,Pure Heroine (Extended),Lorde,"art pop, dance pop, electropop, metropopolis, nz pop, pop, pop dance, post-teen pop"
4pOnY9Cbr16N3w0yDkUae8,Only The Young,Flamingo,Brandon Flowers,"modern rock, vegas indie"
5Uv745RQ6uXics2lpvypZy,No One There (feat. Julian Casablancas),Last Dance,Exhibition,no information
4W7OwimGQdv3jFHDZrOCPl,Rocket,Businessmen & Ghosts,Working for a Nuclear Free City,"indietronica, nu gaze"
0CgJ1v2IDbrp4JAYeGhfYz,Range Rover Bitch,Kota,Taylor Hawkins,rock drums
3hvScxvDCQMsRHWcpjNpxM,The Love Thieves,Ultra (Deluxe),Depeche Mode,"dance rock, new romantic, new wave, permanent wave, synthpop"
2xU2QWzGunslGXtJbmYbeE,Barrel of a Gun,Ultra (Deluxe),Depeche Mode,"dance rock, new romantic, new wave, permanent wave, synthpop"
2UTqXRGegH18sRXSuOUvFa,Genesis,Genesis,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
2E2ZVy2fxslpAUgbb4zu84,Abracadabra,Abracadabra,Steve Miller Band,"album rock, blues rock, classic rock, country rock, folk rock, hard rock, heartland rock, mellow gold, psychedelic rock, rock, roots rock, soft rock"
1kQwf18gqYF1nFQicWJL5r,Consoler Of The Lonely,Consolers of the Lonely,The Raconteurs,"alternative rock, garage rock, garage rock revival, indie rock, modern alternative rock, modern blues rock, modern rock, rock, supergroup"
6JCkmtc6yDQW1w8jh3iFqS,No Fun,The Stooges,The Stooges,"alternative rock, blues rock, classic rock, dance rock, garage rock, new wave, permanent wave, post-punk, protopunk, psychedelic rock, punk, punk blues, rock"
